iter	Passed	Remaining
0	64	64331
1	69	34576
2	75	24977
3	80	19941
4	85	17053
5	90	14975
6	95	13502
7	99	12301
8	103	11417
9	108	10697
10	112	10101
11	116	9562
12	120	9174
13	125	8847
14	130	8550
15	134	8261
16	138	8030
17	143	7813
18	147	7615
19	151	7414
20	155	7235
21	159	7094
22	164	6989
23	168	6848
24	172	6736
25	176	6627
26	181	6533
27	185	6425
28	190	6372
29	194	6281
30	199	6222
31	203	6140
32	207	6066
33	210	5994
34	215	5931
35	219	5867
36	223	5810
37	227	5765
38	231	5711
39	236	5666
40	240	5624
41	244	5577
42	249	5545
43	253	5505
44	258	5492
45	263	5458
46	267	5423
47	271	5394
48	277	5380
49	281	5350
50	285	5319
51	290	5288
52	295	5285
53	300	5262
54	305	5249
55	309	5221
56	314	5199
57	318	5175
58	323	5153
59	327	5124
60	330	5093
61	334	5062
62	339	5052
63	343	5024
64	348	5007
65	352	4988
66	357	4976
67	361	4951
68	365	4934
69	369	4908
70	373	4889
71	377	4866
72	381	4850
73	385	4826
74	389	4809
75	393	4788
76	398	4771
77	401	4750
78	406	4736
79	410	4726
80	415	4714
81	419	4697
82	423	4680
83	427	4664
84	432	4656
85	436	4637
86	441	4630
87	445	4614
88	449	4602
89	453	4585
90	458	4575
91	461	4558
92	465	4540
93	469	4523
94	474	4518
95	478	4503
96	483	4496
97	486	4480
98	491	4469
99	495	4456
100	500	4450
101	503	4437
102	509	4436
103	513	4424
104	519	4424
105	523	4415
106	528	4408
107	531	4392
108	535	4380
109	539	4365
110	544	4360
111	548	4346
112	552	4338
113	556	4326
114	561	4324
115	565	4311
116	570	4302
117	574	4291
118	577	4278
119	582	4268
120	587	4264
121	590	4251
122	595	4244
123	598	4231
124	603	4226
125	607	4213
126	612	4208
127	616	4198
128	620	4190
129	624	4180
130	629	4173
131	633	4164
132	637	4156
133	641	4147
134	646	4142
135	650	4130
136	655	4126
137	659	4116
138	664	4117
139	668	4108
140	673	4101
141	677	4094
142	682	4087
143	686	4078
144	690	4074
145	694	4064
146	699	4057
147	703	4047
148	707	4041
149	711	4031
150	716	4026
151	720	4019
152	726	4023
153	730	4013
154	735	4010
155	740	4006
156	745	4000
157	748	3990
158	753	3984
159	757	3975
160	761	3969
161	766	3964
162	771	3960
163	775	3951
164	779	3945
165	783	3938
166	788	3934
167	793	3928
168	797	3922
169	801	3912
170	806	3908
171	809	3898
172	813	3890
173	817	3882
174	822	3876
175	826	3868
176	830	3861
177	834	3851
178	838	3845
179	842	3837
180	846	3831
181	850	3824
182	855	3818
183	859	3809
184	863	3803
185	867	3795
186	871	3790
187	875	3781
188	880	3776
189	884	3769
190	888	3763
191	892	3754
192	896	3749
193	900	3741
194	905	3737
195	909	3730
196	913	3725
197	917	3717
198	922	3711
199	925	3703
200	930	3699
201	934	3690
202	938	3684
203	942	3678
204	947	3675
205	951	3668
206	956	3664
207	960	3655
208	965	3653
209	969	3645
210	973	3639
211	977	3631
212	980	3624
213	984	3616
214	989	3614
215	993	3606
216	997	3600
217	1001	3593
218	1006	3588
219	1009	3580
220	1013	3573
221	1017	3566
222	1022	3561
223	1025	3553
224	1030	3548
225	1033	3541
226	1039	3538
227	1043	3532
228	1047	3527
229	1051	3520
230	1055	3514
231	1060	3509
232	1064	3504
233	1068	3499
234	1073	3494
235	1077	3487
236	1081	3481
237	1086	3478
238	1091	3476
239	1096	3471
240	1101	3470
241	1107	3468
242	1113	3468
243	1118	3464
244	1122	3460
245	1126	3454
246	1131	3450
247	1135	3443
248	1140	3440
249	1144	3434
250	1149	3429
251	1153	3424
252	1158	3421
253	1164	3419
254	1168	3414
255	1173	3409
256	1178	3406
257	1182	3400
258	1187	3398
259	1191	3392
260	1196	3387
261	1200	3381
262	1205	3377
263	1209	3373
264	1215	3369
265	1220	3366
266	1225	3363
267	1229	3358
268	1235	3356
269	1239	3350
270	1244	3346
271	1248	3340
272	1253	3337
273	1257	3331
274	1263	3331
275	1267	3325
276	1272	3322
277	1276	3315
278	1283	3316
279	1287	3310
280	1291	3305
281	1295	3299
282	1300	3294
283	1304	3287
284	1308	3281
285	1312	3275
286	1316	3271
287	1321	3266
288	1325	3259
289	1329	3254
290	1334	3250
291	1338	3245
292	1343	3242
293	1347	3236
294	1352	3232
295	1356	3226
296	1361	3223
297	1366	3218
298	1371	3214
299	1375	3209
300	1380	3206
301	1385	3203
302	1391	3201
303	1396	3196
304	1402	3195
305	1406	3191
306	1411	3187
307	1418	3186
308	1423	3182
309	1427	3177
310	1434	3177
311	1439	3174
312	1443	3168
313	1449	3166
314	1454	3162
315	1459	3159
316	1464	3156
317	1469	3152
318	1474	3148
319	1480	3145
320	1484	3139
321	1491	3140
322	1496	3136
323	1501	3133
324	1507	3130
325	1513	3128
326	1517	3122
327	1523	3120
328	1527	3115
329	1531	3110
330	1535	3103
331	1540	3100
332	1544	3094
333	1550	3092
334	1554	3085
335	1559	3081
336	1563	3075
337	1567	3070
338	1572	3065
339	1576	3060
340	1580	3054
341	1585	3049
342	1589	3044
343	1593	3039
344	1597	3033
345	1602	3028
346	1606	3022
347	1610	3017
348	1614	3012
349	1619	3008
350	1623	3002
351	1628	2997
352	1632	2991
353	1637	2988
354	1641	2982
355	1646	2979
356	1650	2973
357	1655	2968
358	1659	2963
359	1664	2959
360	1668	2953
361	1672	2947
362	1676	2941
363	1680	2937
364	1685	2932
365	1690	2927
366	1694	2921
367	1699	2917
368	1703	2912
369	1707	2908
370	1711	2902
371	1716	2897
372	1720	2891
373	1725	2888
374	1729	2882
375	1735	2880
376	1739	2874
377	1744	2870
378	1748	2865
379	1753	2861
380	1757	2855
381	1762	2850
382	1766	2845
383	1771	2841
384	1775	2835
385	1780	2831
386	1784	2826
387	1789	2822
388	1793	2817
389	1798	2813
390	1802	2808
391	1807	2804
392	1812	2799
393	1816	2794
394	1820	2788
395	1826	2785
396	1830	2779
397	1834	2774
398	1838	2769
399	1843	2765
400	1848	2760
401	1853	2757
402	1858	2753
403	1863	2749
404	1868	2744
405	1873	2740
406	1878	2736
407	1883	2732
408	1887	2727
409	1892	2722
410	1896	2717
411	1901	2713
412	1905	2708
413	1910	2704
414	1915	2699
415	1920	2695
416	1924	2690
417	1929	2685
418	1933	2680
419	1937	2675
420	1941	2670
421	1946	2665
422	1950	2660
423	1954	2655
424	1959	2650
425	1963	2645
426	1967	2640
427	1972	2636
428	1976	2630
429	1981	2626
430	1985	2621
431	1989	2616
432	1993	2610
433	1997	2604
434	2001	2600
435	2006	2595
436	2010	2589
437	2014	2585
438	2018	2579
439	2022	2574
440	2026	2568
441	2031	2564
442	2035	2559
443	2040	2554
444	2044	2549
445	2048	2544
446	2052	2539
447	2057	2534
448	2060	2529
449	2064	2523
450	2068	2517
451	2072	2513
452	2077	2508
453	2082	2504
454	2086	2499
455	2091	2494
456	2095	2489
457	2100	2485
458	2103	2479
459	2108	2474
460	2112	2469
461	2116	2464
462	2120	2459
463	2125	2455
464	2130	2450
465	2134	2446
466	2138	2441
467	2143	2436
468	2147	2431
469	2152	2427
470	2156	2422
471	2161	2417
472	2164	2412
473	2169	2407
474	2173	2402
475	2177	2396
476	2180	2390
477	2185	2386
478	2189	2381
479	2194	2376
480	2197	2371
481	2202	2366
482	2206	2361
483	2210	2356
484	2214	2351
485	2219	2347
486	2223	2341
487	2227	2337
488	2232	2332
489	2236	2328
490	2240	2322
491	2245	2318
492	2249	2313
493	2254	2308
494	2257	2303
495	2262	2298
496	2266	2293
497	2270	2288
498	2273	2282
499	2278	2278
500	2281	2272
501	2286	2267
502	2289	2262
503	2295	2258
504	2299	2253
505	2304	2249
506	2308	2244
507	2313	2240
508	2316	2234
509	2321	2230
510	2325	2225
511	2328	2219
512	2333	2214
513	2338	2210
514	2343	2206
515	2348	2202
516	2352	2198
517	2358	2194
518	2361	2188
519	2366	2184
520	2371	2180
521	2375	2175
522	2379	2170
523	2384	2165
524	2387	2160
525	2392	2155
526	2395	2150
527	2400	2145
528	2404	2140
529	2408	2136
530	2413	2131
531	2417	2127
532	2422	2122
533	2426	2117
534	2430	2112
535	2435	2107
536	2438	2102
537	2443	2098
538	2447	2093
539	2451	2088
540	2455	2083
541	2459	2078
542	2464	2073
543	2468	2069
544	2471	2063
545	2476	2059
546	2480	2054
547	2485	2049
548	2489	2044
549	2493	2040
550	2497	2034
551	2502	2031
552	2508	2027
553	2512	2023
554	2516	2017
555	2521	2013
556	2524	2008
557	2529	2003
558	2532	1998
559	2537	1993
560	2541	1988
561	2545	1983
562	2549	1979
563	2554	1974
564	2558	1970
565	2563	1965
566	2567	1960
567	2571	1955
568	2575	1950
569	2579	1946
570	2583	1941
571	2588	1936
572	2592	1931
573	2596	1927
574	2600	1922
575	2605	1917
576	2608	1912
577	2613	1908
578	2617	1902
579	2621	1898
580	2625	1893
581	2629	1888
582	2634	1884
583	2638	1879
584	2642	1874
585	2647	1870
586	2652	1866
587	2656	1861
588	2660	1856
589	2664	1851
590	2668	1846
591	2672	1842
592	2676	1837
593	2681	1833
594	2685	1828
595	2690	1823
596	2694	1818
597	2698	1813
598	2702	1808
599	2705	1803
600	2709	1799
601	2714	1794
602	2718	1789
603	2723	1785
604	2728	1781
605	2733	1777
606	2737	1772
607	2743	1768
608	2747	1763
609	2751	1759
610	2755	1754
611	2760	1750
612	2764	1745
613	2769	1740
614	2773	1736
615	2777	1731
616	2781	1726
617	2785	1721
618	2789	1717
619	2794	1712
620	2797	1707
621	2801	1702
622	2805	1697
623	2809	1692
624	2812	1687
625	2817	1683
626	2821	1678
627	2826	1674
628	2830	1669
629	2834	1664
630	2838	1659
631	2841	1654
632	2845	1649
633	2850	1645
634	2854	1640
635	2858	1636
636	2862	1631
637	2867	1626
638	2871	1622
639	2876	1617
640	2879	1612
641	2884	1608
642	2888	1603
643	2893	1599
644	2896	1594
645	2901	1590
646	2905	1585
647	2910	1580
648	2913	1575
649	2918	1571
650	2921	1566
651	2926	1561
652	2930	1557
653	2935	1553
654	2939	1548
655	2944	1544
656	2949	1539
657	2954	1535
658	2957	1530
659	2962	1525
660	2965	1521
661	2970	1516
662	2973	1511
663	2978	1507
664	2982	1502
665	2987	1498
666	2991	1493
667	2996	1489
668	3000	1484
669	3004	1480
670	3008	1475
671	3013	1470
672	3016	1465
673	3021	1461
674	3025	1456
675	3028	1451
676	3032	1446
677	3036	1442
678	3040	1437
679	3044	1432
680	3048	1427
681	3053	1423
682	3056	1418
683	3061	1414
684	3064	1409
685	3069	1404
686	3072	1399
687	3077	1395
688	3080	1390
689	3085	1386
690	3089	1381
691	3093	1376
692	3097	1372
693	3102	1367
694	3105	1362
695	3110	1358
696	3114	1353
697	3118	1349
698	3123	1344
699	3127	1340
700	3131	1335
701	3134	1330
702	3138	1325
703	3143	1321
704	3147	1316
705	3152	1312
706	3156	1308
707	3160	1303
708	3164	1298
709	3168	1294
710	3172	1289
711	3177	1285
712	3181	1280
713	3185	1276
714	3189	1271
715	3194	1267
716	3198	1262
717	3202	1257
718	3207	1253
719	3211	1248
720	3215	1244
721	3220	1239
722	3223	1235
723	3227	1230
724	3231	1225
725	3235	1221
726	3239	1216
727	3243	1212
728	3247	1207
729	3252	1202
730	3255	1198
731	3260	1193
732	3264	1189
733	3269	1184
734	3273	1180
735	3277	1175
736	3282	1171
737	3286	1166
738	3290	1162
739	3294	1157
740	3298	1152
741	3302	1148
742	3306	1143
743	3311	1139
744	3315	1134
745	3319	1130
746	3323	1125
747	3327	1121
748	3332	1116
749	3336	1112
750	3340	1107
751	3345	1103
752	3349	1098
753	3353	1094
754	3357	1089
755	3362	1085
756	3366	1080
757	3372	1076
758	3376	1071
759	3380	1067
760	3384	1062
761	3389	1058
762	3392	1053
763	3397	1049
764	3401	1045
765	3406	1040
766	3410	1036
767	3415	1031
768	3419	1027
769	3423	1022
770	3427	1018
771	3432	1013
772	3435	1008
773	3440	1004
774	3443	999
775	3448	995
776	3451	990
777	3456	986
778	3460	981
779	3465	977
780	3469	972
781	3474	968
782	3477	963
783	3481	959
784	3486	954
785	3490	950
786	3494	945
787	3498	941
788	3502	936
789	3506	932
790	3510	927
791	3514	923
792	3518	918
793	3522	913
794	3526	909
795	3530	904
796	3534	900
797	3538	895
798	3542	891
799	3546	886
800	3550	882
801	3555	877
802	3559	873
803	3564	869
804	3568	864
805	3573	860
806	3577	855
807	3581	851
808	3585	846
809	3590	842
810	3594	837
811	3599	833
812	3602	828
813	3606	824
814	3610	819
815	3614	815
816	3618	810
817	3623	806
818	3627	801
819	3631	797
820	3635	792
821	3639	788
822	3643	783
823	3648	779
824	3652	774
825	3656	770
826	3660	765
827	3664	761
828	3668	756
829	3673	752
830	3676	747
831	3681	743
832	3685	738
833	3689	734
834	3692	729
835	3698	725
836	3701	720
837	3706	716
838	3710	712
839	3715	707
840	3718	703
841	3723	698
842	3727	694
843	3731	689
844	3735	685
845	3740	680
846	3743	676
847	3748	671
848	3752	667
849	3756	662
850	3760	658
851	3764	653
852	3768	649
853	3774	645
854	3778	640
855	3783	636
856	3787	631
857	3792	627
858	3795	623
859	3800	618
860	3804	614
861	3809	609
862	3812	605
863	3817	600
864	3821	596
865	3825	591
866	3830	587
867	3834	583
868	3838	578
869	3842	574
870	3846	569
871	3853	565
872	3857	561
873	3861	556
874	3865	552
875	3870	547
876	3874	543
877	3879	539
878	3882	534
879	3887	530
880	3891	525
881	3895	521
882	3899	516
883	3903	512
884	3908	507
885	3912	503
886	3916	498
887	3920	494
888	3924	490
889	3929	485
890	3932	481
891	3937	476
892	3940	472
893	3945	467
894	3948	463
895	3952	458
896	3956	454
897	3960	449
898	3964	445
899	3968	440
900	3972	436
901	3976	432
902	3981	427
903	3986	423
904	3989	418
905	3994	414
906	3998	410
907	4003	405
908	4007	401
909	4012	396
910	4016	392
911	4020	387
912	4024	383
913	4028	379
914	4032	374
915	4036	370
916	4040	365
917	4044	361
918	4048	356
919	4053	352
920	4057	348
921	4064	343
922	4068	339
923	4072	334
924	4077	330
925	4082	326
926	4085	321
927	4090	317
928	4093	312
929	4099	308
930	4103	304
931	4107	299
932	4111	295
933	4115	290
934	4119	286
935	4123	281
936	4127	277
937	4132	273
938	4135	268
939	4140	264
940	4144	259
941	4148	255
942	4152	250
943	4156	246
944	4161	242
945	4164	237
946	4168	233
947	4172	228
948	4177	224
949	4180	220
950	4185	215
951	4189	211
952	4194	206
953	4199	202
954	4204	198
955	4208	193
956	4213	189
957	4217	184
958	4222	180
959	4226	176
960	4231	171
961	4234	167
962	4239	162
963	4242	158
964	4247	154
965	4251	149
966	4255	145
967	4259	140
