limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,default,util_rate_1,util_rate_2,util_rate_3,util_rate_4,util_rate_5,util_rate_6,util_rate_mean,util_rate_max,util_rate_std,pay_ratio_1,pay_ratio_2,pay_ratio_3,pay_ratio_4,pay_ratio_5,pay_ratio_6,pay_ratio_mean,pay_ratio_min,full_payment_count,minimal_payment_count,bill_trend,bill_growth_rate,bill_recent_vs_avg,pay_amt_mean,pay_trend,pay_consistency,debt_to_limit,debt_to_limit_max,pay_status_mean,pay_status_max,severe_delay_count,age_utilization,behavior_stability,crisis_indicator
20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,1,0.1956402179891005,0.1550922453877306,0.0344482775861206,0.0,0.0,0.0,0.0641967901604919,0.1956402179891005,0.0880772571114925,0.0,0.2220431840154689,0.0,0.0,0.0,0.0,0.0370071973359114,0.0,0,5,3913,3913.0,3.045136186770428,114.83333333333331,0,2.428343068744762,0.1956402179891005,0.1956402179891005,-0.3333333333333333,2,2,1.5407229638518074,3.7992638621198296,0
120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1,0.022349813751552,0.0143748802093315,0.022349813751552,0.0272664394463379,0.0287914267381105,0.0271747735435538,0.0237178579067396,0.0287914267381105,0.0053163543754199,0.0,0.5793742757821553,0.3727171077152441,0.3055300947143293,0.0,0.6131207847946045,0.3117903771677222,0.0,0,2,-579,-0.177498467198038,0.9419891119826728,833.3333333333334,-2000,0.9022444898630614,0.022349813751552,0.0287914267381105,0.5,2,2,0.6166643055752312,1.126315616036956,0
90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0,0.3248741680647993,0.1558538238464017,0.1506538816235375,0.1592315640937323,0.1660870434772947,0.172764747058366,0.1882442046940219,0.3248741680647993,0.0673827912262128,0.0519151846785225,0.106928999144568,0.0737463126843657,0.0697739324588333,0.0668941066292059,0.3215434083601286,0.1151336573259373,0.0519151846785225,0,4,13690,0.8803858520900322,1.7257104634119949,1836.3333333333333,-3482,0.8543988505603335,0.3248741680647993,0.3248741680647993,0.0,0,0,6.400302959596745,1.212331857563179,0
50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0,0.9397812043759124,0.9646407071858564,0.98580028399432,0.5662686746265074,0.5791684166316674,0.5909281814363713,0.7710979113751059,0.98580028399432,0.2113116441286845,0.0425613415334851,0.0418584401044906,0.0243447212529416,0.0388486667843899,0.0369129834254143,0.0338432381210234,0.0363948985369575,0.0243447212529416,0,6,17443,0.5903276025450115,1.218725685138757,1398.0,1000,0.3417141926076476,0.9397812043759124,0.98580028399432,0.0,0,0,28.530622720878917,0.6157470494783581,0
50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0,0.1723365532689346,0.113397732045359,0.7166856662866743,0.4187916241675166,0.3829123417531649,0.3826123477530449,0.3644560442124491,0.7166856662866743,0.2133675341289568,0.2320724065908563,6.468171398342444,0.2790490010045764,0.4297789026312019,0.0359847495691231,0.035490278068158,1.2467577893677266,0.035490278068158,1,2,-10514,-0.5495504913234371,0.4728336915268187,9841.5,1321,1.4006838441223275,0.1723365532689346,0.7166856662866743,-0.3333333333333333,0,0,20.7739945201096,1.9860927832040585,0
50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0,1.2879742405151895,1.1413571728565428,1.1521369572608549,0.3878722425551489,0.3923721525569488,0.4004719905601888,0.7936974593841458,1.2879742405151895,0.4413701540025445,0.0388192729926553,0.0318030488873313,0.0114044680518668,0.0515596803299819,0.0509683995922528,0.0399500624219725,0.0374174887126768,0.0114044680518668,0,6,44376,2.2160299625468163,1.622711238031245,1295.3333333333333,1700,0.5507370837624707,1.2879742405151895,1.2879742405151895,0.0,0,0,29.36680599721339,1.106816768046392,0
500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,0.7359285281429437,0.8240443519112962,0.89001221997556,1.0853038293923412,0.966004067991864,0.9478861042277916,0.9081965169402992,1.0853038293923412,0.1211383439882452,0.1494703314980188,0.0970817233947537,0.0853917232948621,0.0372963250984973,0.028467673145564,0.0290540041566004,0.0711269634313827,0.028467673145564,0,5,-105979,-0.2236103345324879,0.8103168133609288,30126.5,41230,0.557720258462486,0.7359285281429437,1.0853038293923412,0.0,0,0,26.33769899126868,0.6911033698959764,0
100000,2,2,2,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,0,0.1187588124118758,0.0037999620003799,0.0060099399006009,0.0022099779002209,-0.0015899841001589,0.0056699433005669,0.0224764419022476,0.1187588124118758,0.0472496185795641,0.0319946114338637,1.5774278215223096,0.0,2.6171171171171173,-10.677215189873415,2.714788732394366,-0.62264781790096,-10.677215189873415,3,3,11309,19.910211267605632,5.281351912244293,798.5,-1162,0.8374227073600622,0.1187588124118758,0.1187588124118758,-0.5,0,0,0.5169581637516959,2.938671939901567,0
140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,0,0.0806065670959493,0.1006849951071778,0.0864850965350247,0.0872208055656745,0.0842351126063385,0.026564095970743,0.0776327788134846,0.1006849951071778,0.0259312285002031,0.2949672160198476,0.0,0.0356759435130894,0.0818866688503111,0.0847888756995082,0.2688172043010752,0.1276893180639719,0.0,0,4,7566,2.0338709677419353,1.0382103100371065,1126.8333333333333,2329,1.0225678970783931,0.0806065670959493,0.1006849951071778,0.3333333333333333,2,1,2.173717806777571,1.3565613885614438,0
20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0,0.0,0.0,0.0,0.0,0.6503174841257937,0.6955652217389131,0.2243137843107844,0.6955652217389131,0.3477998748882623,0.0,0.0,0.0,13007.0,0.0862546125461254,0.0,2167.847709102091,0.0,1,5,-13912,-0.99992812477539,0.0,2354.8333333333335,0,2.2233058045650913,0.0,0.6955652217389131,-1.6666666666666667,-1,0,7.850982450877456,3.7734663165740345,0
200000,2,3,2,34,0,0,2,0,0,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,0,0.0553647231763841,0.0489347553262233,0.0276748616256918,0.0125649371753141,0.0091399543002284,0.0186549067254663,0.028722356388218,0.0553647231763841,0.0193149695006283,0.2082355065920173,0.0012259910093992,0.0090317919075144,0.1193317422434367,2.043739748496446,0.017684887459807,0.3998749446181035,0.0012259910093992,1,3,7342,1.967309753483387,1.927247411017318,1078.6666666666667,2240,1.4589614166039,0.0553647231763841,0.0553647231763841,0.1666666666666666,2,1,0.976560117199414,2.131315992375405,0
260000,2,1,2,51,-1,-1,-1,-1,-1,2,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,0,0.0471575109326502,0.0833458332852565,0.0383306218053007,0.0327575663170526,0.0857189010811496,0.0525690285806593,0.0566465770003448,0.0857189010811496,0.0226754410572849,1.7793182188876202,0.4598772553181671,0.8611417678338517,2.6181028410424982,0.0,0.2662959982442022,0.9974560135543898,0.0,2,1,-1407,-0.1029336454751627,0.8324299858557285,11051.333333333334,18178,0.8359428083477496,0.0471575109326502,0.0857189010811496,-0.5,2,1,2.8889754270175887,1.2362123880027516,0
630000,2,2,2,41,-1,0,-1,-1,-1,-1,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,0,0.0192650487856368,0.0103174439405651,0.0103174439405651,0.0103174439405651,0.0103174439405651,0.0045555483245264,0.0108483954787373,0.0192650487856368,0.0047237192198171,0.0823858955346844,0.999846177511152,0.999846177511152,0.999846177511152,0.4414705429933856,0.0,0.5872324951769211,0.0,0,2,9267,3.2277951933124345,1.775583351620218,3895.0,1000,0.7696846461121225,0.0192650487856368,0.0192650487856368,-0.8333333333333334,0,0,0.4447842146282308,1.2050511638802526,0
70000,1,2,2,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,1,0.9400151426408194,0.9624005371351838,0.9385723061099128,0.9540149426436764,0.5162354823502522,0.5270496135769489,0.8063813374094657,0.9624005371351838,0.2207627447425701,0.0486300016716563,0.0,0.045660710480655,0.0449216117874309,0.0415075543748962,0.0,0.0301199797191064,0.0,0,6,28908,0.7835208022767313,1.1656997085839305,1783.3333333333333,3200,0.846545119400127,0.9400151426408194,0.9624005371351838,1.1666666666666667,2,3,24.19144012228397,1.120309929709075,0
250000,1,1,2,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,0,0.2835468658125367,0.2682389270442918,0.2542429830280679,0.2387830448678205,0.22749909000364,0.2220471118115527,0.2490596704279849,0.2835468658125367,0.0240175904016253,0.0423202798781175,0.0447353901671612,0.0471980113904534,0.0502537815970651,0.0527463253393346,0.0540413957091131,0.0485491973468742,0.0423202798781175,0,6,15375,0.276962153009205,1.1384513258939446,3000.0,0,0.0,0.2835468658125367,0.2835468658125367,0.0,0,0,7.222730442411564,0.0964315283794582,0
50000,2,3,3,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,0,1.012259754804904,0.5834483310333793,0.5623087538249235,0.5754084918301634,0.5906081878362432,0.6042079158416832,0.6547069058618827,1.012259754804904,0.1757306318700539,0.0,0.0514156440666346,0.0391222392147099,0.0417072153482552,0.0440200460517404,0.0364093737587713,0.0354457530733519,0.0,0,6,20403,0.675327684363829,1.5460793597458533,1033.3333333333333,-1100,0.510366300865721,1.012259754804904,1.012259754804904,0.5,2,1,15.058258834823302,0.7787692493379257,0
20000,1,1,2,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,1,0.7687615619219039,0.9004549772511374,0.8713564321783911,0.9168541572921354,0.8952052397380131,0.9551522423878808,0.884630768461577,0.9551522423878808,0.0632071690980508,0.2081030109904402,0.0,0.0860634574559641,0.0,0.0921478833910421,0.0,0.0643857253062411,0.0,0,5,-3728,-0.1951321643548809,0.8689705840797988,1058.3333333333333,3200,1.2302389795286126,0.7687615619219039,0.9551522423878808,1.3333333333333333,2,4,21.23113844307785,1.301685281437687,0
320000,1,1,1,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,0,0.7915162765116359,0.7704225924293987,0.6083199740000812,0.2189805656857322,0.0182999428126787,0.6112449648594848,0.5031307193831687,0.7915162765116359,0.3140594962980276,0.0408943214614251,0.0405618629252404,0.3901080836723791,0.2854084909026043,33.39576575038416,0.2556237218813906,5.734727038537867,0.0405618629252404,1,2,57687,0.2949233128834356,1.573172398086996,60316.166666666664,-39642,1.1794414448198614,0.7915162765116359,0.7915162765116359,-0.5,0,0,24.653405249775265,1.8036481043602344,0
