default,revolvingutilizationofunsecuredlines,age,numberoftime3059dayspastduenotworse,debtratio,monthlyincome,numberofopencreditlinesandloans,numberoftimes90dayslate,numberrealestateloansorlines,numberoftime6089dayspastduenotworse,numberofdependents,total_late_payments,has_late_payments,income_to_debt,age_group
1,0.766126609,45,2,0.802982129,9120.0,13,0,6,0,2,2,1,1.2438087414253955,1
0,0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1,0,0,8.138272438940392,1
0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0,2,1,11.612597926860955,1
0,0.233809776,30,0,0.036049682,3300.0,5,0,0,0,0,0,0,26.990784968140886,0
0,0.9072394,49,1,0.024925695,63588.0,7,0,1,0,0,1,1,38.57177213571323,2
0,0.213178682,74,0,0.375606969,3500.0,3,0,1,0,1,0,0,2.6552880916019372,3
0,0.305682465,57,0,5710.0,5400.0,8,0,3,0,0,0,0,0.00017513131784039967,2
0,0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0,0,0,4.74068417279022,1
0,0.116950644,27,0,46.0,5400.0,2,0,0,0,0,0,0,0.021738657855264017,0
0,0.189169052,57,0,0.606290901,23684.0,9,0,4,0,2,0,0,1.6466573076483488,2
0,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0,0,0,3.2208586931668615,0
0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2,0,0,1.8778328516942444,2
0,0.010351857,46,0,0.298354075,12454.0,13,0,2,0,2,0,0,3.3405257636796826,2
1,0.964672555,40,3,0.382964747,13700.0,9,3,1,1,2,7,1,2.604405763323892,1
0,0.019656581,76,0,477.0,0.0,6,0,1,0,0,0,0,0.0020964316636652752,3
0,0.548458062,64,0,0.209891754,11362.0,7,0,1,0,2,0,0,4.741769087851581,3
0,0.061086118,78,0,2058.0,5400.0,10,0,2,0,0,0,0,0.00048590841306685466,3
0,0.166284079,53,0,0.18827406,8800.0,7,0,0,0,0,0,0,5.283344162427752,2
0,0.221812771,43,0,0.527887839,3280.0,7,0,1,0,2,0,0,1.8907600558386066,1
0,0.602794411,25,0,0.065868263,333.0,2,0,0,0,0,0,0,14.954777575125588,0
0,0.200923382,43,0,0.430046338,12300.0,10,0,2,0,0,0,0,2.319936192103783,1
1,0.025655677,38,0,0.475841386,3000.0,7,0,1,0,2,0,0,2.097133406117564,1
0,0.9999999,39,0,0.241103559,2500.0,4,0,0,0,0,0,0,4.130463856584611,1
0,0.075426584,32,0,0.085512189,7916.0,6,0,0,0,0,0,0,11.559064815710535,1
0,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0,0,0,4.121640407111734,2
1,0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1,0,0,0.6264669632321177,2
0,0.052436094,58,0,0.097672186,8333.0,22,0,1,0,0,0,0,10.134568215606372,2
0,0.034421473,69,0,0.042383047,2500.0,17,0,0,0,1,0,0,23.050478681223105,3
0,0.452515828,24,0,0.011761247,3400.0,1,0,0,0,0,0,0,78.36224782734791,0
0,0.392994586,58,2,0.436102527,5500.0,15,0,1,0,0,2,1,2.287792767667985,2
0,0.704073982,28,1,0.155201143,4200.0,8,0,0,0,0,1,1,6.402001808655139,0
0,0.9999999,24,0,0.472703063,750.0,1,0,0,0,0,0,0,2.111027092936488,0
0,0.083418009,62,0,977.0,5400.0,6,0,1,0,0,0,0,0.0010235404057928293,3
0,0.186868556,57,0,0.313812313,7000.0,9,0,2,0,0,0,0,3.1764958316608154,2
0,0.693329681,42,2,0.257731959,2230.0,7,0,0,0,0,2,1,3.865003781770925,1
0,0.0,64,0,0.073538769,11000.0,9,0,1,0,0,0,0,13.415837334260242,3
0,0.881836362,50,3,0.567858035,4000.0,9,0,1,0,1,3,1,1.7579078407497575,2
0,0.9999999,75,1,0.134078212,3400.0,1,0,1,0,1,1,1,7.403118424457676,3
0,0.363636364,26,0,0.00999001,1000.0,1,0,0,0,0,0,0,90.99172794201277,0
0,0.304490668,52,0,0.808340474,3500.0,10,0,2,0,0,0,0,1.235573942147863,2
0,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0,1,1,1.8499523481874347,1
0,0.07289757,81,0,75.0,5400.0,7,0,0,0,0,0,0,0.013333155557925894,3
0,0.469056842,31,0,0.048211004,9250.0,4,0,0,0,1,0,0,20.32065836332053,1
0,0.718705378,28,0,0.170125614,3661.0,4,0,0,0,1,0,0,5.843660552183613,0
0,0.368875933,68,0,1687.5,1.0,31,0,1,0,0,0,0,0.0005925922414268199,3
0,0.000602723,70,0,0.177787036,16800.0,12,0,1,0,2,0,0,5.593246704979213,3
0,0.061440132,62,0,0.011167837,3133.0,2,0,0,0,0,0,0,82.1838754085874,3
0,0.140110634,31,0,0.689370485,1937.0,4,0,2,0,0,0,0,1.4484976135675904,1
0,0.834048027,38,0,0.393662026,13000.0,13,0,2,0,2,0,0,2.533813577493772,1
0,7.96e-05,70,0,0.256339661,6900.0,21,1,1,0,0,1,1,3.885914810465224,3
0,0.818977517,73,0,3095.0,0.0,9,0,1,1,0,1,1,0.0003231016726650492,3
1,0.728150491,31,0,0.824725092,3000.0,10,0,2,0,1,0,0,1.2110568150204644,1
0,0.9999999,62,0,0.0,5400.0,1,0,0,0,0,0,0,1000.0,3
0,0.028562367,51,0,0.306381499,5750.0,5,0,1,0,0,0,0,3.253286236332656,2
0,0.992015968,29,0,0.008064516,2231.0,1,0,0,0,0,0,0,110.32028626790441,0
0,0.070853769,55,0,0.073147745,13793.0,4,0,1,0,0,0,0,13.4865868139348,2
0,0.454971915,46,1,0.016921775,13000.0,10,0,0,0,1,1,1,55.79804455752848,2
0,0.401199782,64,0,0.351258937,3216.0,4,0,1,0,0,0,0,2.8388208075470347,3
0,0.541108804,43,0,2477.0,5400.0,3,0,1,0,2,0,0,0.00040371400738231433,1
0,0.655569945,35,0,0.261609907,5813.0,10,0,0,0,2,0,0,3.8079294548472618,1
0,0.651603452,58,0,0.241135663,7783.0,11,0,1,0,0,0,0,4.1299162114752175,2
0,0.027399502,69,0,0.00803428,5600.0,3,0,0,0,0,0,0,110.6895070774871,3
0,0.101155821,72,0,1720.0,5400.0,12,0,2,0,0,0,0,0.0005813950108168542,3
0,0.009788862,46,0,1.051397656,3326.0,6,0,2,0,2,0,0,0.9502111623859414,2
0,0.337520702,60,0,0.549877805,4500.0,10,0,2,0,0,0,0,1.8152846074457472,2
0,0.0,67,0,0.540983607,3720.0,2,0,1,0,0,0,0,1.8450742551702306,3
0,0.750873672,55,2,0.316416365,7723.0,17,0,1,0,1,2,1,3.150436178676547,2
0,0.006799093,27,1,0.681045752,764.0,3,0,0,0,0,1,1,1.4661773012552977,0
0,0.004264079,31,0,0.111444278,2000.0,6,1,0,0,2,1,1,8.893293796594968,1
0,0.26948375,64,0,0.16106176,9455.0,13,0,1,0,3,0,0,6.170487103188315,3
0,0.265898391,36,0,0.262611807,8384.0,6,0,2,0,1,0,0,3.7934567930790752,1
