limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,pay_status_max,severe_delay_count,pay_status_mean,pay_ratio_min,pay_amt_max,pay_amt_mean,util_rate_2,bill_recent_vs_avg,age_limit,util_rate_mean,default
20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,2,2,-0.3333333333333333,0.0,689,114.83333333333331,0.1550922453877306,3.045136186770428,4.8,0.0641967901604919,1
120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,2,2,0.5,0.0,2000,833.3333333333334,0.0143748802093315,0.9419891119826728,31.2,0.0237178579067396,1
90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0,0,0.0,0.0519151846785225,5000,1836.3333333333333,0.1558538238464017,1.7257104634119949,30.6,0.1882442046940219,0
50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0,0,0.0,0.0243447212529416,2019,1398.0,0.9646407071858564,1.218725685138757,18.5,0.7710979113751059,0
50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0,0,-0.3333333333333333,0.035490278068158,36681,9841.5,0.113397732045359,0.4728336915268187,28.5,0.3644560442124491,0
50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0,0,0.0,0.0114044680518668,2500,1295.3333333333333,1.1413571728565428,1.622711238031245,18.5,0.7936974593841458,0
500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,0,0.0,0.028467673145564,55000,30126.5,0.8240443519112962,0.8103168133609288,145.0,0.9081965169402992,0
100000,2,2,2,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,0,0,-0.5,-10.677215189873415,1687,798.5,0.0037999620003799,5.281351912244293,23.0,0.0224764419022476,0
140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,2,1,0.3333333333333333,0.0,3329,1126.8333333333333,0.1006849951071778,1.0382103100371065,39.2,0.0776327788134846,0
20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,-1,0,-1.6666666666666667,0.0,13007,2354.8333333333335,0.0,0.0,7.0,0.2243137843107844,0
