feature,importance
severe_x_recent,0.26574013
severe_recent_x_pay_max,0.108496025
recent_pay_mean,0.056520548
pay_status_max,0.054553628
consecutive_delays,0.026531413
pay_0,0.022991026
severe_delay_count,0.02126698
consecutive_x_severe,0.015154227
pay_x_limit,0.011923008
bill_amt_std,0.011696105
pay_amt_mean,0.008799687
pay_status_max_sq,0.008055134
recent_pay_mean_cube,0.0076560867
util_rate_max,0.0074647344
pay_deterioration,0.0074617453
bill_amt_max,0.0071901428
debt_to_limit_max,0.0071383277
bill_amt_mean,0.007033666
util_x_limit,0.006919989
months_maxed_out,0.006788787
pay_amt3,0.0066569718
util_rate_2,0.0059444485
pay_ratio_min,0.0057376814
pay_amt1,0.005614617
debt_to_limit,0.00553345
log_limit_bal,0.005427497
pay_status_x_util,0.00528657
limit_per_age,0.0052516935
pay_volatility,0.0052119843
pay_amt_max,0.00489482
util_rate_1,0.004823908
pay_status_mean,0.0047185225
recent_pay_mean_sq,0.0046391985
pay_amt2,0.0045438358
bill_amt1,0.0044880915
limit_bal,0.004371167
util_rate_3,0.004361047
financial_strain,0.0042385934
util_volatility,0.0042221905
bill_recent_vs_avg,0.0041081426
debt_x_delay,0.0039966
pay_3,0.003984308
age_limit,0.0039518033
pay_amt6,0.0039506033
payment_coverage_1,0.003937393
bill_amt2,0.0038222373
pay_improvement,0.003810617
pay_6,0.0037847052
recent_pay_x_pay_max,0.003763901
util_spike,0.00375938
recent_pay_x_consecutive,0.0037423025
bill_amt5,0.0037367018
consecutive_x_util,0.0036845217
bill_amt3,0.00366985
age_utilization,0.0036261666
bill_stability,0.0036229
pay_ratio_1,0.0035400165
utilization_trend,0.0035277382
util_rate_mean,0.0035044649
payment_ratio_x_util,0.003485459
bill_trend,0.0034590613
util_rate_std,0.0034579784
bill_amt4,0.0034400334
pay_ratio_3,0.0034312005
pay_ratio_2,0.0033776674
pay_ratio_6,0.00333495
util_rate_5,0.0033038256
payment_coverage_mean,0.0032802282
pay_ratio_4,0.0032726806
pay_amt4,0.0032626714
consecutive_x_utilization,0.0032620656
pay_ratio_5,0.0032604926
age_x_debt,0.0032593324
bill_growth,0.003237549
pay_amt_std,0.0032279955
bill_acceleration,0.0032227018
sex,0.0032204462
pay_ratio_mean,0.003198767
education,0.003170465
pay_trend,0.0031563062
historical_pay_mean,0.0031390414
util_spike_x_pay,0.0031306462
payment_capacity,0.0031127436
education_risk,0.0030853567
payment_coverage_2,0.003082237
payment_volatility,0.003077168
pay_ratio_max,0.0030458777
util_rate_min,0.0030407738
bill_growth_rate,0.0030031002
marriage,0.0029964535
cash_advance_count,0.0029955758
util_rate_4,0.0029949003
high_limit_young,0.002991451
pay_trend_change,0.0029792022
bill_amt6,0.0028942286
pay_amt5,0.0028058775
age,0.002789216
recently_maxed_out,0.0027650434
pay_consistency,0.0027191155
behavior_stability,0.0026902005
util_rate_6,0.002674653
pay_2,0.0026474004
young_high_util,0.0026143498
pays_minimum_only,0.0025889685
married_high_util,0.0024910097
minimal_payment_count,0.0024624253
edu_payment_interaction,0.0024199095
pay_4,0.0021571298
full_payment_count,0.001891081
underpayment_count,0.0018775333
maxed_x_delay,0.001875992
util_increasing,0.0017343272
pay_5,0.0017060295
crisis_indicator,0.001327101
