feature,importance
severe_x_recent,0.2533748
severe_recent_x_pay_max,0.15017702
consecutive_delays,0.06757795
pay_status_max,0.04288494
recently_maxed_out,0.034377914
severe_delay_count,0.02312859
pay_0,0.018910633
recent_pay_mean,0.017712453
pay_x_limit,0.012961588
consecutive_x_severe,0.010218954
util_x_limit,0.0085119475
bill_amt_std,0.008304006
pay_amt_mean,0.007349425
bill_amt_mean,0.0072027342
util_rate_max,0.0068571805
debt_to_limit_max,0.0067074425
months_maxed_out,0.006235091
bill_amt_max,0.0060102404
pay_deterioration,0.0056183324
pay_amt_max,0.0053875544
util_rate_2,0.0052034976
pay_amt3,0.005197136
recent_pay_mean_sq,0.005130952
pay_ratio_min,0.0051227817
pay_status_mean,0.004800805
pay_amt1,0.004753476
debt_to_limit,0.0045443554
util_increasing,0.004403882
pay_volatility,0.0043623233
limit_per_age,0.004156527
pay_status_max_sq,0.0040973644
log_limit_bal,0.0040868805
bill_amt1,0.003995082
util_rate_1,0.0038933498
pay_status_x_util,0.0038915204
debt_x_delay,0.0038459813
pay_amt2,0.0037656557
recent_pay_x_pay_max,0.003746785
bill_amt2,0.0036841952
financial_strain,0.0035944828
pay_6,0.0035229528
limit_bal,0.0034823162
age_utilization,0.003479959
recent_pay_mean_cube,0.003472481
util_rate_3,0.0034724583
bill_recent_vs_avg,0.0034559516
payment_coverage_1,0.003453965
bill_amt5,0.0034335034
util_rate_mean,0.003385832
pay_amt6,0.003356259
pay_improvement,0.003353947
age_limit,0.0033482728
cash_advance_count,0.003344724
util_volatility,0.003288452
bill_amt4,0.0032853563
util_rate_std,0.0032768864
pay_ratio_1,0.0032383506
bill_stability,0.0032256255
util_spike,0.0032185502
bill_growth,0.0031849588
util_spike_x_pay,0.0031721336
payment_coverage_mean,0.0031496237
pay_ratio_3,0.0031412537
high_limit_young,0.0031030546
pay_ratio_5,0.0030900808
pay_2,0.0030840298
pay_amt4,0.0030794563
pay_ratio_2,0.003065489
utilization_trend,0.003055201
bill_trend,0.0030470013
marriage,0.0030382548
sex,0.003035225
bill_acceleration,0.0030150968
payment_ratio_x_util,0.003013745
pay_3,0.0030092467
payment_capacity,0.00299124
education,0.0029856623
util_rate_min,0.0029566917
pay_ratio_6,0.0029545948
pay_ratio_4,0.0029542444
bill_amt3,0.0029541447
age_x_debt,0.0029514441
util_rate_5,0.0029396287
young_high_util,0.0029334957
payment_coverage_2,0.0028910397
pay_ratio_mean,0.0028748289
bill_growth_rate,0.002856308
payment_volatility,0.0028225936
education_risk,0.002821363
pay_trend,0.0028159367
married_high_util,0.002798579
pay_ratio_max,0.0027822999
bill_amt6,0.0027688548
minimal_payment_count,0.0027676097
util_rate_6,0.0027627843
util_rate_4,0.0027549332
pays_minimum_only,0.002740613
consecutive_x_util,0.0027160721
pay_consistency,0.0027073936
behavior_stability,0.002671488
pay_amt5,0.0026095528
historical_pay_mean,0.0026007676
pay_amt_std,0.0025987588
age,0.002527013
recent_pay_x_consecutive,0.0025006894
pay_5,0.0024906162
pay_trend_change,0.0023610499
edu_payment_interaction,0.0023211637
pay_4,0.0022618792
underpayment_count,0.0020137248
full_payment_count,0.0019922408
maxed_x_delay,0.0018146212
crisis_indicator,0.0015685998
