feature,importance_mean,importance_std,importance_min,importance_max
bill_amt_max,-0.000705866768459514,0.0005165860955695585,-0.0017105857389657642,0.0008552928694828266
pay_amt6,-0.0006105629192084942,0.0003567987312968737,-0.0014162287901705595,6.0260288604396806e-05
pay_ratio_4,-0.0004619880787675686,0.0003579813323140733,-0.0011359848457692667,6.76528147155464e-05
pay_ratio_mean,-0.0003489720356418628,0.0002976594641022415,-0.0012614337737189008,0.00016308360633410235
util_rate_5,-0.00029999468335493534,0.00021846844448528447,-0.000858429092681745,0.00017294030781578318
pay_amt_max,-0.00029926289794192834,0.00028020238137743756,-0.0008232585896673639,0.0002793478806299987
pay_ratio_2,-0.0002806023699094625,0.00045298715948701454,-0.0014054760249178067,0.0006626391587035707
bill_amt4,-0.00024140704712336165,0.00020153227128627847,-0.0005817694033649623,0.0001646517179335616
pay_amt4,-0.00023592612372372497,0.0001993537420143784,-0.0006106674599818396,0.00025403407909729836
util_x_limit,-0.00021544359935675347,0.00019073531719313846,-0.0006693596369866661,0.0001169363221241726
pay_ratio_6,-0.00020106177583111283,0.00036881220733640395,-0.001133072638513588,0.0005418945655523144
bill_amt5,-0.00019369911851218057,0.0002254258480335911,-0.0005777371163949718,0.00021863956014012143
util_rate_min,-0.00018568681495921834,0.0001742318597822388,-0.0005604878888022524,0.0001449383149700889
consecutive_x_severe,-9.472887499789954e-05,0.00017557920044800605,-0.0004267503709702858,0.00035775346059829793
payment_coverage_mean,-7.177470806241463e-05,0.00029309340331513397,-0.0005694485265127502,0.0005401024380103925
payment_coverage_2,-6.283647194601504e-05,7.158515239832325e-05,-0.00024148918630240157,9.834299887467868e-05
log_limit_bal,-5.935675763505769e-05,0.0001006035369211179,-0.0002441773776155065,0.00014135405988568994
pay_trend_change,-5.876684898576586e-05,8.154882558666151e-05,-0.000198702141233853,0.00010439142932916479
pay_x_limit,-5.743768772535166e-05,0.0003859968806105822,-0.001009415838106431,0.0008214664621252199
bill_growth_rate,-5.368915428304681e-05,0.00017062467903279963,-0.0005040358712248283,0.00024014509064573808
pay_deterioration,-3.6693811425170256e-05,0.00014947317136252864,-0.0002889805661688838,0.00021505530505605552
maxed_x_delay,-3.591722282360414e-05,4.9396212426478764e-05,-0.00012231270475071554,6.944494225757936e-05
pay_status_max_sq,-3.047363541432609e-05,5.596937150094726e-05,-0.0001335135018887268,6.742879877275065e-05
historical_pay_mean,-2.794225526108196e-05,4.9164701379036046e-05,-0.00016151549473475413,5.577996974903687e-05
pay_improvement,-2.4380401771095794e-05,9.149006160643066e-05,-0.00029256482125328276,0.00018906945569507894
pay_amt_std,-1.992995170811973e-05,0.00014109899219381594,-0.000431902737654033,0.00027195535451862707
pays_minimum_only,-1.313480144421823e-05,1.6666091932206855e-05,-4.1218933469089336e-05,1.0752765252752816e-05
pay_ratio_max,-1.0842371629900722e-05,0.0002080490192332107,-0.00045340826815964963,0.00042406217965729187
bill_amt6,-7.437329299849379e-06,0.00011605978098323211,-0.00043190273765392195,0.0001904135513516314
pay_status_mean,-6.190307218441789e-06,0.00013285241494310774,-0.00031295027204480963,0.0002818120560004189
young_high_util,-6.04843045468965e-06,1.8014280724620627e-05,-4.0770901583608854e-05,3.2706327643960975e-05
underpayment_count,-1.971340296317662e-06,1.953562879076878e-05,-3.8530742155762354e-05,3.6738614613729403e-05
crisis_indicator,-1.851865126845098e-06,3.088352247271114e-06,-9.85670148168083e-06,2.6881913132159596e-06
recently_maxed_out,-1.4187676375324956e-06,2.189048315828838e-06,-4.928350740840415e-06,2.240159427624455e-06
full_payment_count,5.1224978912559985e-06,1.5839340612496218e-05,-2.7329945017640078e-05,3.181026387288899e-05
util_increasing,5.480923399699596e-06,5.1026922095894006e-06,-5.376382626431919e-06,2.1953562390986114e-05
