sample_id,true_label,model_prob,mcdm_ensemble,final_risk_score,model_prediction,mcdm_prediction,final_prediction,mcdm_topsis_equal,mcdm_topsis_weighted,mcdm_saw_equal,mcdm_saw_weighted,mcdm_wpm_equal,mcdm_wpm_weighted,mcdm_vikor_equal,mcdm_vikor_weighted,criteria_Payment_Behavior_Risk,criteria_Financial_Capacity_Risk,criteria_Severe_Default_Risk,criteria_Interaction_Risk,criteria_Other_Risk
0,0,0.34237137,0.45328807971482066,0.3867380654478255,0,0,0,0.647031679263274,0.7367551683420986,0.3845771073979244,0.3112403905540242,0.45291963764141674,0.3322334357595684,0.3520189841485946,0.3520189776870851,-0.51009506,0.087833665,-0.23156452,0.002857116,-0.01999629
1,0,0.3249436,0.40668191750854543,0.35763893421495074,0,0,0,0.7453617526108185,0.6777374618129709,0.28763216722072393,0.31848061853042386,0.4199749490531523,0.35507868343453297,0.21089915447625118,0.21089915058056644,-0.22569254,-0.1062278,-0.23629898,-0.011559112,-0.16958721
2,0,0.3789909,0.4600107535638276,0.4113988375631119,0,0,0,0.6310372545304594,0.7139620094305315,0.4011623076032752,0.3380284011963306,0.43741190899827787,0.3318314107859731,0.3797950683135561,0.3797950731135632,-0.47447458,0.08119716,-0.2549797,-0.014006479,0.15020947
3,1,0.33775857,0.482315850174439,0.3955814915561724,0,0,0,0.692855402401287,0.7501371236687212,0.3285161178213003,0.29682276203864577,0.4254304832947444,0.3170504276463295,0.4786357453886699,0.4786357481395813,-0.56952,-0.15861022,-0.2161967,-0.035449717,0.28825757
4,0,0.15621692,0.3702197283069405,0.241818042976066,0,0,0,0.8558317734976646,0.9385494398200585,0.153039876284513,0.09832518993311301,0.29733954759685705,0.14606232051495105,0.13944454320018507,0.13944453909861806,-1.108566,-0.16508801,-0.22054908,-0.010673005,-0.19999433
5,0,0.4982123,0.502399487677413,0.49988719160683864,0,1,0,0.5135391257313842,0.6196564562718293,0.5237654515353428,0.442480722181561,0.6544335648310401,0.5053372835166756,0.41925966025652256,0.4192596541885555,-0.20072463,-0.18663915,0.3500489,0.0008234093,0.011120066
6,0,0.3139779,0.42109300549741685,0.3568239554004514,0,0,0,0.7124957610797527,0.7339320414101836,0.3119178450742318,0.28833733291321684,0.41941405702493945,0.32492337023751294,0.25537753729078544,0.25537754319422,-0.42738488,-0.21643156,-0.22679856,-0.0070212786,0.07782845
7,0,0.12278127,0.33711318219625014,0.20851403591999634,0,0,0,0.9304589750581818,0.9656628772597686,0.05252945863727532,0.04646841382369035,0.2108145667093818,0.11460232000261503,0.05150700944872262,0.051507006247495796,-1.0879614,-0.4385588,-0.27934304,-0.015817469,-0.16289212
8,0,0.27415046,0.4098200582975046,0.32841830585455484,0,0,0,0.7903487588918428,0.7150594035274171,0.23738496739014947,0.2709000685830363,0.4065418713579776,0.33572578458166275,0.2417282583939772,0.2417282527087514,-0.28738478,-0.27725387,-0.1997617,-0.0015719663,-0.22591421
9,0,0.18833616,0.36031368663698843,0.25712717887079883,0,0,0,0.89278316791196,0.8230712375883672,0.12140417180117435,0.1703524090067968,0.2717517018938209,0.2180884695814722,0.1087460804799213,0.10874607676993867,-0.5698002,-0.32833195,-0.29176414,-0.012799363,-0.27638283
