Payment_Behavior_Risk,Financial_Capacity_Risk,Severe_Default_Risk,Interaction_Risk,Other_Risk
-0.51009506,0.087833665,-0.23156452,0.002857116,-0.01999629
-0.22569254,-0.1062278,-0.23629898,-0.011559112,-0.16958721
-0.47447458,0.08119716,-0.2549797,-0.014006479,0.15020947
-0.56952,-0.15861022,-0.2161967,-0.035449717,0.28825757
-1.108566,-0.16508801,-0.22054908,-0.010673005,-0.19999433
-0.20072463,-0.18663915,0.3500489,0.0008234093,0.011120066
-0.42738488,-0.21643156,-0.22679856,-0.0070212786,0.07782845
-1.0879614,-0.4385588,-0.27934304,-0.015817469,-0.16289212
-0.28738478,-0.27725387,-0.1997617,-0.0015719663,-0.22591421
-0.5698002,-0.32833195,-0.29176414,-0.012799363,-0.27638283
-0.062041994,-0.037783332,0.4696813,0.0041109286,-0.09619501
0.29212198,0.2869466,-0.15530157,-0.0019324049,0.22410692
0.26355347,0.24989541,-0.16398634,-0.004034751,0.14529693
-0.6825304,-0.2850921,-0.26138133,0.024159964,-0.046346188
-0.66582036,-0.27604863,-0.29413497,-0.012043224,-0.116328664
0.5671295,0.0027781595,0.675043,-0.001407525,0.013025672
-1.0304683,-0.48454547,-0.2492875,0.0021256565,-0.18122633
0.16593586,0.23554973,-0.17335086,-0.0105364425,0.07815684
-0.7545875,-0.2541308,-0.26230022,-0.015418771,0.09929766
0.08452217,0.34252405,-0.21974243,-0.0048659323,-0.13542143
-0.9189723,-0.49236807,-0.2771119,-0.011821948,-0.21343894
-0.4354971,-0.1263139,-0.19897076,-0.015840769,0.35847855
-0.24823736,-0.13572127,-0.2634077,-0.0040141004,-0.21588895
-0.50150865,-0.06660374,-0.22933704,0.009892546,0.2518049
-0.2834715,0.3017258,-0.16025458,-0.003416107,0.08526252
-0.3118866,-0.14759095,-0.25064117,0.01222543,0.11550027
-0.3267941,0.10919832,-0.22990258,-0.0113362195,-0.025032133
-0.8095663,0.209422,-0.23190163,-0.016167622,-0.16863994
1.4865652,0.077063315,0.69325924,0.0022749824,0.09602805
0.00085049146,-0.058302104,0.54107916,0.0011047167,-0.22366765
-0.07760015,0.14858799,-0.20646529,-0.025570698,0.01324526
-0.4947492,-0.021590834,-0.2418037,-0.010109916,0.2552038
1.3299757,0.08087153,0.76902115,0.0062362654,0.13375342
-0.32577837,0.0078767445,-0.23513228,-0.0076036556,0.1814382
-0.66880053,-0.26316234,-0.27801883,-0.012078246,0.04626803
-0.9059761,-0.2163516,-0.24779019,-0.0095257545,0.116392724
-0.41941586,-0.11270709,-0.23426457,-0.007741155,-0.08184663
-0.5997048,-0.35787648,0.3048198,-0.038695052,-0.17086837
-0.9304807,-0.08228133,-0.26288733,-0.0061604953,-0.17492962
0.30617464,0.12012891,0.5167633,0.02049183,0.103657626
-0.7367954,-0.14762627,-0.23543392,-0.018258858,0.24451871
1.272959,-0.069637835,0.71778125,0.00042345445,0.004987427
-0.21435457,0.2361303,-0.23358633,0.002291581,-0.11785131
-0.3811853,-0.12009438,-0.24659735,0.0014594188,0.09562474
-0.54423964,-0.22132973,-0.2905242,0.009534436,-0.18824404
-0.782885,-0.34569728,-0.29044724,-0.01203908,-0.24198607
-0.40991047,0.16539152,-0.19205359,-0.01112959,-0.15599617
1.3212044,-0.091858946,0.80898124,0.000872259,-0.09330973
-0.5887408,-0.3292072,-0.24915199,-0.0076219384,-0.06374497
0.30674064,0.072473176,-0.14694646,0.0015025279,0.16158263
0.2888654,0.10823988,-0.19329922,-0.015007681,-0.08203507
-0.9426122,-0.12578759,-0.2510385,-0.007747238,-0.06802757
1.261912,0.027082976,0.64532435,0.0011332761,0.0034146118
1.0258104,-0.022124797,0.7799381,0.012870161,0.09406875
-0.5154782,0.39549416,-0.22850195,0.00547733,0.040581375
-0.86625975,-0.39120698,-0.2653743,-0.010623218,-0.20641725
-0.6433526,0.07460309,-0.2672103,-0.0061076297,0.007779944
-0.8623641,-0.50568765,-0.26858187,-0.017697781,-0.29734364
-1.1121359,-0.2380623,-0.23718323,-0.0015105694,-0.101866566
1.3553964,-0.0020267796,0.79000646,0.023091324,0.070360586
-0.45715997,0.23723286,-0.1957499,-0.02415928,-0.0901448
0.6550667,0.046234876,0.5567562,0.0050366274,-0.057790272
