feature,importance
severe_x_recent,0.28699997
pay_0,0.14062189
pay_status_max,0.12774445
severe_recent_x_pay_max,0.08966036
bill_amt_std,0.068723045
pay_ratio_min,0.050549097
pay_amt1,0.04660922
limit_per_age,0.042131834
pay_amt3,0.041488543
pay_x_limit,0.040356293
pay_amt_mean,0.036085602
util_rate_2,0.034105755
severe_delay_count,0.03407721
pay_amt2,0.028806686
pay_ratio_3,0.028779332
bill_amt_max,0.026395269
bill_recent_vs_avg,0.026271189
util_rate_1,0.025603684
bill_amt1,0.025385158
recent_pay_mean,0.02487732
bill_amt_mean,0.023509284
util_rate_max,0.023208074
age_limit,0.019581163
limit_bal,0.017368997
bill_trend,0.017069582
pay_volatility,0.0163389
utilization_trend,0.014785567
util_rate_3,0.0142860925
pay_trend,0.014079132
pay_deterioration,0.014017223
pay_amt6,0.013834104
pay_amt_max,0.013795477
bill_acceleration,0.013678758
pay_ratio_5,0.01329422
consecutive_delays,0.013057644
pay_amt4,0.012727261
consecutive_x_severe,0.012593547
pay_status_x_util,0.012244764
pay_ratio_6,0.011757992
pay_ratio_1,0.011111539
payment_coverage_mean,0.010980287
pay_ratio_4,0.010810703
age,0.0107975565
bill_growth_rate,0.0107686715
education,0.010389169
bill_amt2,0.010261707
bill_amt5,0.009477889
pay_ratio_2,0.009335815
age_x_debt,0.008948074
debt_to_limit,0.00893504
pay_ratio_max,0.008903282
marriage,0.008361255
pay_status_mean,0.00825048
consecutive_x_util,0.007962086
util_x_limit,0.007848765
age_utilization,0.007795574
pay_ratio_mean,0.0074921884
bill_amt3,0.0072460333
util_rate_std,0.0072165
pay_amt5,0.007047273
bill_amt4,0.00682588
payment_ratio_x_util,0.0062580323
util_spike_x_pay,0.0060444474
util_rate_mean,0.00582321
util_rate_5,0.00558835
pay_improvement,0.005173994
pay_consistency,0.005117236
edu_payment_interaction,0.0051099616
bill_stability,0.005095229
util_rate_min,0.004689887
util_spike,0.004515999
payment_coverage_1,0.004463975
pay_3,0.0043983497
util_rate_6,0.004331618
maxed_x_delay,0.0040260917
util_rate_4,0.00401597
pay_amt_std,0.0039447006
consecutive_x_utilization,0.0039000711
debt_to_limit_max,0.0038881483
payment_capacity,0.003871723
sex,0.0035311126
log_limit_bal,0.0034004222
util_volatility,0.003300523
bill_growth,0.0030911518
behavior_stability,0.0029504
bill_amt6,0.0026864503
pay_status_max_sq,0.0024432405
historical_pay_mean,0.0024287074
debt_x_delay,0.002353127
pay_trend_change,0.0022867415
pay_2,0.0022252644
recent_pay_x_pay_max,0.002128966
months_maxed_out,0.0020879945
financial_strain,0.0019517018
pay_6,0.0019315333
education_risk,0.0018941949
minimal_payment_count,0.0017663876
recent_pay_x_consecutive,0.0017159582
payment_volatility,0.0016233652
payment_coverage_2,0.0014518287
recent_pay_mean_cube,0.0014169245
recent_pay_mean_sq,0.001100532
pay_4,0.0010028215
high_limit_young,0.00069472723
pay_5,0.0004993396
underpayment_count,0.0004295135
full_payment_count,0.00040929607
young_high_util,0.00036631347
married_high_util,0.0002506419
pays_minimum_only,0.00024028146
cash_advance_count,0.00015335604
util_increasing,7.552404e-05
recently_maxed_out,3.862289e-05
crisis_indicator,1.4030695e-05
