feature,importance
pay_status_max,0.44790292
severe_delay_count,0.11105556
pay_0,0.09008816
pay_status_mean,0.025234232
pay_amt_mean,0.02288755
bill_amt_std,0.022451574
pay_amt_max,0.020224461
debt_to_limit_max,0.018366642
util_rate_max,0.017734054
pay_ratio_min,0.0149124805
pay_amt2,0.014657047
pay_amt3,0.014475868
util_rate_2,0.014220439
pay_2,0.014124178
limit_bal,0.013375182
pay_amt1,0.013206454
age_limit,0.010843539
util_rate_mean,0.010563505
pay_6,0.010255443
bill_recent_vs_avg,0.010063159
age_utilization,0.009705639
pay_amt6,0.009317141
util_rate_5,0.009210091
pay_amt4,0.008890262
pay_ratio_max,0.008838994
util_rate_4,0.008023936
pay_3,0.007748057
pay_4,0.0073880255
behavior_stability,0.007264972
pay_5,0.00697043
