feature,importance
bill_acceleration,331
limit_per_age,326
pay_0,322
pay_ratio_4,306
pay_ratio_min,298
age,292
bill_recent_vs_avg,291
bill_trend,277
age_limit,276
pay_amt1,250
bill_amt1,249
pay_amt2,241
pay_ratio_2,236
pay_trend,234
pay_ratio_3,230
pay_ratio_1,229
bill_growth_rate,225
pay_amt3,218
pay_ratio_max,208
pay_x_limit,204
pay_amt_mean,201
pay_ratio_5,194
util_rate_1,193
pay_ratio_6,191
utilization_trend,187
payment_coverage_mean,181
age_utilization,179
bill_amt_std,178
age_x_debt,173
pay_amt6,172
util_rate_2,171
education,165
pay_ratio_mean,160
pay_amt4,155
pay_status_x_util,153
pay_consistency,149
bill_stability,149
pay_amt_std,143
behavior_stability,142
util_rate_3,141
payment_ratio_x_util,140
util_rate_std,137
bill_amt_mean,126
payment_capacity,125
bill_amt2,122
bill_amt5,121
util_spike_x_pay,120
util_rate_5,119
pay_amt_max,119
pay_amt5,118
util_spike,117
util_rate_max,110
bill_amt4,108
util_rate_6,105
pay_volatility,105
util_rate_4,100
bill_amt_max,98
bill_amt6,96
severe_x_recent,95
util_rate_mean,94
edu_payment_interaction,91
pay_status_max,90
limit_bal,82
util_rate_min,80
bill_amt3,75
consecutive_x_util,66
pay_deterioration,66
severe_recent_x_pay_max,63
util_x_limit,58
severe_delay_count,55
pay_status_mean,54
payment_coverage_1,49
payment_volatility,49
util_volatility,46
consecutive_x_severe,45
marriage,45
pay_trend_change,43
bill_growth,39
payment_coverage_2,38
sex,36
debt_to_limit,35
maxed_x_delay,34
debt_x_delay,34
pay_improvement,33
historical_pay_mean,33
education_risk,32
debt_to_limit_max,32
pay_2,31
minimal_payment_count,29
log_limit_bal,28
recent_pay_mean,25
pay_4,21
pay_3,19
recent_pay_x_pay_max,18
pay_status_max_sq,17
consecutive_delays,16
pay_6,16
recent_pay_x_consecutive,14
financial_strain,14
pay_5,13
underpayment_count,13
recent_pay_mean_sq,11
months_maxed_out,9
consecutive_x_utilization,9
full_payment_count,8
young_high_util,6
high_limit_young,6
cash_advance_count,4
married_high_util,2
crisis_indicator,1
recent_pay_mean_cube,1
pays_minimum_only,1
recently_maxed_out,0
util_increasing,0
