model,fold,auc
xgb,1,0.7977575421249117
xgb,2,0.7873385669043639
xgb,3,0.7806545288929598
xgb,4,0.7969240426867545
xgb,5,0.7828677631572318
xgb,6,0.7826929413293915
xgb,7,0.7976228261888136
xgb,8,0.799179596932406
xgb,9,0.8078627502546756
xgb,10,0.7833730838872717
lgb,1,0.797482090606397
lgb,2,0.7874312678159565
lgb,3,0.7830375468920507
lgb,4,0.7991130941045244
lgb,5,0.7834088543477231
lgb,6,0.7824138309760097
lgb,7,0.7998254804577409
lgb,8,0.8014986311501262
lgb,9,0.8068228878550723
lgb,10,0.7834899676453667
cat,1,0.7956084148925436
cat,2,0.784469372928714
cat,3,0.7817246198506911
cat,4,0.7972631063470903
cat,5,0.7817004370041887
cat,6,0.7798695940002358
cat,7,0.7917201964050183
cat,8,0.7971583140122467
cat,9,0.8017258491453884
cat,10,0.783332779143101
