features_remaining,removed_feature,validation_auc
114,baseline,0.7932774159671394
113,pay_ratio_4,0.7943670295127564
112,consecutive_delays,0.7946759474978315
111,pays_minimum_only,0.7950711116208719
110,debt_to_limit_max,0.7943022889052969
109,bill_amt5,0.7947834751503595
108,bill_amt3,0.7950000985670148
107,pay_5,0.7955012222309837
106,bill_amt_std,0.7950081631409545
105,edu_payment_interaction,0.7947738424648206
104,limit_per_age,0.7951842396719688
103,education_risk,0.7945796206424418
102,pay_amt1,0.7947057416182195
101,bill_acceleration,0.7955346006064559
100,severe_recent_x_pay_max,0.7960285557602562
99,util_increasing,0.7944591000652333
98,pay_trend_change,0.7950955293586334
97,sex,0.7957070928823863
96,pay_ratio_mean,0.7955424411644528
95,util_rate_mean,0.7948128212388619
94,bill_growth_rate,0.7953005039462648
93,pay_ratio_2,0.7950592387759052
92,pay_amt3,0.7947496487430017
91,util_rate_3,0.7956103179951111
90,bill_amt2,0.7950177958264932
89,consecutive_x_utilization,0.7954322253206116
88,util_volatility,0.7952689176983347
87,financial_strain,0.796068206582126
86,payment_coverage_mean,0.7963034233220311
85,pay_ratio_min,0.7955095108208661
84,util_rate_5,0.7951699026516319
83,util_rate_min,0.7958914580032832
82,bill_recent_vs_avg,0.7953164090782012
81,util_spike_x_pay,0.7953860780364018
80,crisis_indicator,0.7957805701116137
79,util_rate_max,0.7947635377314533
78,payment_coverage_2,0.7947218707660987
77,pay_amt6,0.7948087889518921
76,underpayment_count,0.7955760435558679
75,pay_ratio_max,0.7960164588993469
74,bill_amt_max,0.7967436146495674
73,bill_amt1,0.7957859464942401
72,pay_ratio_6,0.7973997573459308
71,bill_growth,0.7978442049763798
70,age_utilization,0.7965487207793603
69,pay_3,0.7966188377694463
68,bill_amt4,0.7964389529674047
67,pay_status_x_util,0.7969727829590176
66,limit_bal,0.7974860034838959
65,age_x_debt,0.797061717288296
64,consecutive_x_severe,0.7978336762270698
63,age_limit,0.7977691596355528
62,pay_x_limit,0.7964476895891726
61,pay_amt_max,0.7976833615294733
60,full_payment_count,0.7976499831540012
59,consecutive_x_util,0.7980355145915025
58,pay_ratio_5,0.7978379325299824
57,minimal_payment_count,0.7983603377085139
56,pay_deterioration,0.7986804564907275
55,pay_trend,0.7977528064717309
54,age,0.7975384232145033
53,recent_pay_x_pay_max,0.7985742729338561
52,pay_volatility,0.7983791550477065
51,util_rate_2,0.798397748370956
50,pay_improvement,0.7981598434397379
49,months_maxed_out,0.7982947010372835
48,pay_amt5,0.7983807231593057
47,bill_stability,0.7977059871396928
46,debt_to_limit,0.7975084050781726
45,maxed_x_delay,0.7976051799654478
44,pay_consistency,0.797392812851705
43,young_high_util,0.7980686689510319
42,util_rate_std,0.7979250747317185
41,payment_ratio_x_util,0.7977400375629933
40,recent_pay_mean_sq,0.7976264614800107
